"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Mystic_Soul25: @AamAadmiParty Purely an act of fraud. Cold blooded murder. 

#Oreva group only got the contract because of their friend…",FALSE,0,,2022-11-05 05:53:10,FALSE,,"1588771381990522881",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManojManojkapur",4,TRUE,FALSE,,
"RT @DefenceU: The russian occupiers staged a man-made natural disaster in the Kharkiv region. 
While retreating, they blew up the floodgate…",FALSE,0,,2022-11-05 05:53:09,FALSE,,"1588771380836720640",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NONPLVSD",2495,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 05:53:08,FALSE,,"1588771373765529601",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zenefica",8164,TRUE,FALSE,,
"RT @ChrisUKSharp: @thomaslfessler @SKEPTICLBELIEVR @_n_th_n_ @RobertESheridan @Renate_FE @gillibrandny OUSDI&amp;S and its leadership have fail…",FALSE,0,,2022-11-05 05:53:06,FALSE,,"1588771366391918593",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wwphenomena",5,TRUE,FALSE,,
"@deepimpactcrier @LazlosGhost I think you need a D O’R episode!!!

Not seen Flirting with Disaster? https://t.co/e7B4CFUBGg",FALSE,0,"deepimpactcrier",2022-11-05 05:53:05,FALSE,"1588695494741884928","1588771363682033664","92396775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickThe909King",0,FALSE,FALSE,,
"RT @KnightSirdam: Peter Obi keeps giving Obidients joy. 

See how he is relating with Nigerians answering questions and communicating with…",FALSE,0,,2022-11-05 05:53:03,FALSE,,"1588771353158889478",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChiffDozzy",980,TRUE,FALSE,,
"RT @Entertainsyou: ATEEZ Donates To National Disaster Relief Association Following Itaewon Tragedy : Entertainment Daily https://t.co/bke3X…",FALSE,0,,2022-11-05 05:53:01,FALSE,,"1588771347572088832",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soratinyy",5,TRUE,FALSE,,
"RT @DefenceU: The russian occupiers staged a man-made natural disaster in the Kharkiv region. 
While retreating, they blew up the floodgate…",FALSE,0,,2022-11-05 05:53:01,FALSE,,"1588771344959016960",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartinLaly",2495,TRUE,FALSE,,
"RT @TheHallyuNews: According to the Hope Bridge National Disaster Relief Association #ATEEZ donated 100 million won for the Itaewon disaste…",FALSE,0,,2022-11-05 05:53:00,FALSE,,"1588771340710187008",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARMY_ATINY_GIRL",665,TRUE,FALSE,,
"RT @DanielaNadj: Mark Carney is absolutely right. Brexit is a total disaster. You don't need to be the former Head of the Bank of England t…",FALSE,0,,2022-11-05 05:52:59,FALSE,,"1588771339602898944",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheAndyKnowles",1323,TRUE,FALSE,,
"RT @FireRescue1: Learn about tools and technology to support your emergency response when disaster strikes in our upcoming webinar on Nov.…",FALSE,0,,2022-11-05 05:52:58,FALSE,,"1588771334758486023",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OkieFireNews",1,TRUE,FALSE,,
"On November 5 World Tsunami Awareness Day This day is celebrated to raise awareness for early warnings and actions… https://t.co/HMEk68cGhK",FALSE,1,,2022-11-05 05:52:58,TRUE,,"1588771332178968577",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","advgupta1",1,FALSE,FALSE,,
"RT @1024updates: [📋] ATEEZ donated 100 million won to the Hope Bridge National Disaster Relief Association following the Itaewon tragedy.…",FALSE,0,,2022-11-05 05:52:57,FALSE,,"1588771328638996480",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luvisagxmble",3382,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 05:52:56,FALSE,,"1588771325723947011",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_squishytiger",8164,TRUE,FALSE,,
