"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","timeline"
"RT @aespabbl: w korea IG update https://t.co/7SsvZdJ4jb",FALSE,0,"","2022-10-28 23:59:59",FALSE,,"1586145787855372288",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","douublep",906,TRUE,FALSE,127.169018271319,36.590474296145,"before"
"RT @jaybcharts: Check out DAZED KOREA's video! 

#TikTok @jaybnow_hr #Jaebeom #JAYB #제이비 @GOT7 @cdnzarecords 
https://t.co/3eugEsjd3g",FALSE,0,"","2022-10-28 23:59:59",FALSE,,"1586145787674652672",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlphabunnieW",36,TRUE,FALSE,127.418388461685,37.2269914845506,"before"
"RT @ZER0XBLACK: Love Your W 2022 Red Carpet &amp; Mini Interview by W Korea 기사 사진 (1)
#BTS #방탄소년단 @BTS_twt https://t.co/1D5huX2THm",FALSE,0,"","2022-10-28 23:59:59",FALSE,,"1586145786672254976",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Chocolate5milk_",48615,TRUE,FALSE,127.747128642073,37.7480976391232,"before"
"RT @verritaee: W Korea Instagram Update
https://t.co/b7kboo5wey

#BTS #방탄소년단 @BTS_twt https://t.co/YeIgN28Vyn",FALSE,0,"","2022-10-28 23:59:59",FALSE,,"1586145785569480704",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MisterySnow",345,TRUE,FALSE,126.966170373652,37.6930583680034,"before"
"RT @aespabbl: w korea IG update https://t.co/eBdOfFmojc",FALSE,0,"","2022-10-28 23:59:58",FALSE,,"1586145785028444160",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camilasdreamers",392,TRUE,FALSE,127.605470099901,37.8654535869297,"before"
"RT @Brillante_Mon: 221028 W korea preview
#방탄소년단 #BTS #알엠 #RM #김남준 @BTS_twt

🫠 https://t.co/KXps2hPo17",FALSE,0,"","2022-10-28 23:59:58",FALSE,,"1586145783027757056",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","79esl",1329,TRUE,FALSE,127.585655896189,36.6453483995875,"before"
"RT @NewJeans_NEWS: [VIDEO] 221028 — BTS 'Namjoon' reaction to NewJeans 'Attention' at W Korea Halloween Party's today!

#NewJeans #뉴진스 http…",FALSE,0,"","2022-10-28 23:59:56",FALSE,,"1586145775914213376",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kookvely_901",5067,TRUE,FALSE,127.923744887237,37.3937737077105,"before"
"RT @newtannies: Newjeans Hyein, reveals in a recent interview with Vogue Korea that lately she’s been obsessed with “The Astronaut“ by Jin…",FALSE,0,"","2022-10-28 23:59:56",FALSE,,"1586145775213387776",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neouillegirl",3222,TRUE,FALSE,127.68755376155,37.3060830757609,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,"","2022-10-28 23:59:54",FALSE,,"1586145766170513408",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamYeonCaffeine",13531,TRUE,FALSE,126.624697495885,36.7845090906077,"before"
"RT @Azeb06100830: The only d/c b/n North Korea, Russia, &amp; Ethiopia is that the latter relies on foreign countries to fully supply its weapo…",FALSE,0,"","2022-10-28 23:59:53",FALSE,,"1586145760202350592",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KalebGebremar20",399,TRUE,FALSE,127.591103258787,36.92906232596,"before"
"RT @Koo_Picasso: 🐹this is something I cannot leave out. This is about my enlistment. Now I gotta finish this Argentina (concert) and go bac…",FALSE,0,"","2022-10-28 23:59:52",FALSE,,"1586145758457188352",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anarion_",9019,TRUE,FALSE,127.704874756681,37.4547812014397,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,"","2022-10-28 23:59:52",FALSE,,"1586145757429518336",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yellowbts1",13531,TRUE,FALSE,127.050743723274,37.4543659383575,"before"
"RT @WORLDMUSICAWARD: #BTS’ #Jin makes Hot New Entry at #1 on the #Circle Retail Album chart in Korea this week with his new Album #TheAstro…",FALSE,0,"","2022-10-28 23:59:52",FALSE,,"1586145757157281792",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyAprilChild",3843,TRUE,FALSE,127.065528275562,36.9829080641069,"before"
